name,points,time,date
guilherme diel,193,14.80256986618042,2025-10-28 10:54:51
guilherme diel,93,4.23749852180481,2025-10-28 10:55:39
guilherme diel,97,4.5533294677734375,2025-10-28 10:56:39
guilherme diel,94,25.012503147125244,2025-10-28 11:08:30
asdsa,80,20.490138292312626,2025-10-28 15:05:09
gui,97,6.745381832122803,2025-10-28 15:10:21
asd,96,3.361810207366944,2025-10-28 15:13:22
asd,96,2.8594698905944824,2025-10-28 15:15:48
asdsad,76,5.481037378311157,2025-10-28 15:17:19
asd,100,2.969469785690308,2025-10-28 15:18:13
asdasdsa,83,2.3842618465423584,2025-10-28 15:19:35
asdasd,76,2.817225933074951,2025-10-28 15:25:48
asd,76,4.367766380310059,2025-10-28 15:32:28
asd,79,2.7343361377716064,2025-10-28 15:32:40
asdasdasd,76,2.787491798400879,2025-10-28 15:33:58
guilherme diel,109,49.5420126914978,2025-10-28 15:38:01
